tempo;Centro_Oeste;Sul;Sudeste;Nordeste;Norte
set/12;861,15;863,77;880,67;794,31;852,88
out/12;862,68;864,22;882,38;796,18;869,2
nov/12;863,39;864,79;885,47;797,69;870,51
dez/12;865,3;867,62;886,58;805,66;873,05
jan/13;866,64;869,01;888,14;806,62;877,32
fev/13;868,22;872,73;900,83;808,71;879,31
mar/13;867,67;878,63;901,2;810,51;881,27
abr/13;870,96;878,76;908,7;819,04;882,52
mai/13;823,05;833,81;864,41;776,47;833,07
jun/13;884,59;906,77;939,23;828,76;886,83
jul/13;847,13;849,48;875,25;780,36;833,78
ago/13;851,77;866,6;877,3;782,93;841,03
set/13;854,16;870,95;880,06;787,14;856,9
out/13;867,3;872,4;880,88;791,4;864,77
nov/13;867,79;871,89;884,56;797,72;867
dez/13;869,57;873,81;895,16;806,33;871,08
jan/14;871,05;876,83;899,11;810,64;877,27
fev/14;873,79;878,74;903,72;813,53;884,77
mar/14;876,6;883,09;910,77;818,23;889,51
abr/14;878,69;886,85;912,44;826,76;889,74
mai/14;881,56;887,87;933,07;829,75;891,75
jun/14;888,88;896;940,03;831,63;894,95
jul/14;899,82;908,65;942,18;835,95;899,15
ago/14;923,48;915,99;943,67;836,89;906,16
set/14;924,26;918,33;944,96;838,59;906,72
out/14;922,72;920,9;946,94;840,3;920,77
nov/14;923,53;923,36;945,19;846,69;921,38
dez/14;927,03;927,22;954,31;851,61;922,27
jan/15;928;929,21;956,23;852,37;928,95
fev/15;931,04;930,34;956,88;854,97;930,62
mar/15;931,75;937,07;957;858,03;932,72
abr/15;931,82;940,83;960,19;867,05;934,02
mai/15;934,22;945,35;986,87;868,48;937,1
jun/15;940,19;956,45;994,68;872,88;942,96
jul/15;950,34;968,31;998,96;878,57;949,9
ago/15;971,1;992,51;1000,64;879,34;958,81
set/15;972,21;995,06;1000,24;884,95;964,22
out/15;972,68;994,14;1000,06;886,89;987,54
nov/15;975,18;997,95;1001,46;890,48;990,96
dez/15;975,71;999,77;1001,61;889,98;995,18
jan/16;981,5;1001,65;1004,39;899,55;1000,59
fev/16;986,11;1011,28;1010,58;911,11;1006,32
mar/16;988,63;1018,2;1026,97;912,41;1009,38
abr/16;993,31;1020,59;1026,93;924,25;1010,81
mai/16;998,86;1021,76;1044,07;926,82;1013,78
jun/16;999,76;1032,05;1060,18;934,45;1017,08
jul/16;1000,06;1034,04;1060,85;938,97;1017,74
ago/16;1025,21;1034,72;1059,87;939,93;1018,02
set/16;1030,18;1036,62;1064,76;939,23;1021,41
out/16;1031,78;1045,37;1073,36;940,73;1038,04
nov/16;1033,1;1045,86;1071,71;945,74;1036,79
dez/16;1037,84;1067,7;1073,62;948,71;1038,92
jan/17;1039,08;1069,08;1075,93;954,49;1049,45
fev/17;1039,49;1071,44;1078,42;956,27;1050,78
mar/17;1042,08;1073,93;1085,96;960,27;1052,31
abr/17;1042,27;1074,48;1086,17;964,77;1052,37
mai/17;1042,77;1075,55;1088,12;972,25;1051,14
jun/17;1051,36;1083,13;1093,07;972,3;1054,96
jul/17;1053,77;1097,55;1103,17;973,5;1053,04
ago/17;1058,04;1098,62;1103,71;978,98;1052,73
set/17;1061,59;1100,68;1104,79;982,83;1059,63
out/17;1071,77;1101,8;1104,9;983,76;1062,53
nov/17;1081,84;1103,97;1110,09;988,82;1066,13
dez/17;1083,05;1105,39;1111,87;991,97;1065,63
jan/18;1081,68;1106,85;1116,94;994,66;1066,91
fev/18;1085,08;1110,72;1119,4;999,04;1068,69
mar/18;1086,88;1110,57;1120,5;1002,21;1068,43
abr/18;1090,29;1115,02;1123,96;1003,77;1069,19
mai/18;1091,76;1117,34;1133,68;1008,88;1072,16
jun/18;1094,67;1127,22;1140,77;1014,92;1074,87
jul/18;1100,46;1137,63;1145,63;1019,82;1079,35
ago/18;1103,92;1141;1151,72;1021,46;1083,47
set/18;1108,21;1144,47;1156,05;1027;1091,98
out/18;1119,42;1147,4;1156,76;1031,17;1111,96
nov/18;1121,77;1151,6;1157,52;1034,74;1117,65
dez/18;1124,32;1157,34;1158,29;1037,37;1122,05
jan/19;1125,2;1159,47;1167,87;1039,39;1123,38
fev/19;1128,33;1162,51;1171,12;1040,67;1124,34
mar/19;1129,42;1172,08;1177,76;1045,73;1129,1
abr/19;1131,69;1175,96;1180,74;1050,49;1135,07
mai/19;1130,22;1177,85;1181,12;1052,9;1137,65
jun/19;1132,97;1182,7;1183,2;1058,57;1143,81
jul/19;1134,91;1197,14;1196,52;1060,26;1146,07
ago/19;1148,91;1215,17;1196,65;1064,19;1147,7
set/19;1154,06;1217,74;1203,2;1064,53;1157,07
out/19;1158,31;1220,73;1204,23;1064,44;1168,34
nov/19;1163,57;1222,41;1205,14;1065,52;1167,41
dez/19;1165,74;1222,66;1208,86;1067,68;1169,45
jan/20;1171,04;1223,27;1210,88;1072,56;1175,74
fev/20;1173,73;1225,25;1213,94;1076,4;1176,06
mar/20;1175,45;1226,42;1216,75;1083,86;1179,62
abr/20;1175,84;1228,32;1221,51;1086,49;1179,66
mai/20;1176,2;1230,98;1222,84;1089,44;1181,52
jun/20;1176,87;1230,35;1224,52;1091,56;1185,14
jul/20;1179,66;1232,4;1233,1;1096,97;1188,86
ago/20;1189,95;1241,81;1241,92;1109,75;1199,4
set/20;1208,09;1255,02;1258,43;1127,78;1221,08
out/20;1222,25;1277,25;1277,56;1151,11;1243,85
nov/20;1244,12;1305,7;1297,9;1173,31;1267,48
dez/20;1260,87;1335,31;1319,86;1201,17;1289,71
jan/21;1280,81;1359,87;1347,06;1229,05;1306,14
fev/21;1297,35;1381,65;1364,56;1246,23;1317,87
mar/21;1322,36;1394,91;1385,56;1265,29;1331,86
abr/21;1330,39;1422,44;1412,62;1293,48;1351,76
mai/21;1352,93;1438,67;1441,87;1318,11;1367,38
jun/21;1379,39;1493,35;1482,71;1343,47;1382,99
jul/21;1406,76;1521,78;1516,02;1364,47;1400,82
ago/21;1424,02;1547,75;1526,39;1378,49;1413,47
set/21;1452,91;1565,49;1535,22;1386,06;1438,32
out/21;1470,62;1572,52;1551,51;1395,4;1475,26
nov/21;1494,2;1586,39;1567,24;1409,08;1494,32
dez/21;1503,31;1594,85;1572,22;1418,32;1506,36
jan/22;1515,22;1599,93;1579,8;1433,2;1525,1
fev/22;1523,16;1608,41;1588,16;1441,22;1536,33
mar/22;1548,88;1614,83;1606,3;1453,09;1551,07
abr/22;1572,3;1637,91;1624,46;1468,9;1570,98
mai/22;1623,17;1649,32;1676,34;1489,5;1590,14
jun/22;1637,98;1661,71;1705,96;1523,66;1608,46
jul/22;1658,26;1717,01;1723,94;1546,52;1622,08
ago/22;1676,13;1729,3;1732,44;1549,97;1645,35
set/22;1683,1;1745,74;1737,19;1556,52;1653,98
out/22;1709,83;1750,43;1736,74;1560,37;1678,09
nov/22;1719,1;1756,2;1736,53;1561,13;1686,47
dez/22;1722,72;1761,89;1735,03;1560,52;1697,69
jan/23;1727,02;1761,86;1744,44;1561,05;1709,77
fev/23;1728,23;1764,72;1742,11;1561,97;1725,71
mar/23;1727,96;1772,25;1741,96;1569,86;1726,36
abr/23;1728,52;1780,65;1744;1577,97;1727,61
mai/23;1730,74;1785,67;1754,28;1581,22;1731,85
jun/23;1739,19;1803,11;1753,66;1591,72;1739,4
jul/23;1737,71;1806,36;1761,77;1593,03;1740,81
ago/23;1741,72;1832,8;1760,79;1592,25;1741,51
set/23;1743,37;1833,64;1760,23;1590,83;1750,02
out/23;1742,32;1835,7;1760,7;1593,63;1763,67
nov/23;1739,31;1838;1761,83;1595,83;1766,89
dez/23;1754,88;1842,66;1764,24;1599,14;1772,31
jan/24;1755,14;1843,86;1763,58;1606,98;1782,91
fev/24;1761,49;1845,73;1765,45;1609,65;1785,43
mar/24;1756,78;1845,48;1767,73;1611,39;1787,75
abr/24;1757,56;1847,03;1779,23;1618,44;1790,99
mai/24;1763,22;1846,4;1780,28;1623,23;1797,02
jun/24;1778,82;1855,99;1794;1627,22;1804,11
jul/24;1782,38;1857,7;1802,02;1636,95;1808,48
ago/24;1784,93;1891,57;1812,5;1643,19;1815,94
set/24;1790,49;1893,82;1818,71;1651,2;1820,93
out/24;1793,46;1901,72;1827,75;1657,78;1849,69
